"","LSOA11CD","LSOA11NM","MEAN"
"535","E01002382","Havering 014F",43.466476913346
"536","E01003639","Redbridge 013A",43.4638985675571
"537","E01002566","Hounslow 003C",43.4536502546689
"538","E01002441","Hillingdon 003D",43.4466951110607
"539","E01001525","Enfield 020E",43.4434561626429
"540","E01001281","Ealing 013D",43.4428621048975
"541","E01001709","Greenwich 004B",43.4326849244945
"542","E01001280","Ealing 011D",43.4320175438597
"543","E01000672","Bromley 011A",43.4314859926918
"544","E01003466","Merton 020A",43.4285108188375
"545","E01001134","Croydon 018E",43.4268423883808
"546","E01003699","Redbridge 006B",43.4251609128145
"547","E01002939","Kingston upon Thames 018A",43.4244142101285
"548","E01002538","Hillingdon 005C",43.4222481071637
"549","E01001684","Greenwich 017C",43.4198758820029
"550","E01000192","Barnet 018A",43.4198661500528
"551","E01001284","Ealing 022A",43.414891373128
"552","E01002387","Havering 024B",43.4120554817766
"553","E01004070","Southwark 031B",43.4098360655738
"554","E01002966","Kingston upon Thames 010C",43.3963548968556
"555","E01000178","Barnet 027B",43.3881876637295
"556","E01003776","Redbridge 014C",43.3847517730496
"557","E01002513","Hillingdon 013D",43.3841106579181
"558","E01001680","Greenwich 020B",43.3833824010468
"559","E01002187","Harrow 009C",43.373347107438
